Date,Close-Last,Volume,Open,High,Low
2023-10-30,146.09,13857150,145.66,146.44,144.32
2023-10-31,145.73,14261260,146.1,146.5178,144.23
2023-11-01,143.98,10819560,145.98,146.015,143.82
2023-11-02,148.76,11099080,144.54,148.9999,143.83
2023-11-03,147.61,13159990,148.3,148.56,146.15
2023-11-06,147,10634160,148.73,149.3299,146.69
2023-11-07,144.41,15054580,145.16,145.61,143.24
2023-11-08,142.4,12654140,143.88,144.65,142.25
2023-11-09,141.94,10359500,143.05,143.91,141.78
2023-11-10,142.95,11990410,143.29,143.44,141.73
2023-11-13,144,8747672,143.15,144.3,142.85
2023-11-14,145.05,11224350,144.48,145.5,143.86
2023-11-15,145.56,10052080,144.86,146.64,144.41
2023-11-16,141.77,14031350,143.02,143.51,140.74
2023-11-17,144.46,11077900,142.95,145.185,142.4
2023-11-20,144.38,8064012,144.63,145.69,144.27
2023-11-21,144.04,6783311,143.83,144.3,142.7
2023-11-22,144.33,7217065,141.74,144.39,140.72
2023-11-24,144.9,3861030,144.3,145.94,144.2
2023-11-27,144.36,9850831,144.65,144.82,142.85
2023-11-28,145.51,9746540,144.78,146.52,144.06
2023-11-29,143.91,16417140,146.39,146.49,143.06
2023-11-30,143.6,16275960,144.98,146.01,142.03
2023-12-01,144.81,11906550,143.49,146.505,142.6
2023-12-04,144.87,11842830,144,145.7,143.25
2023-12-05,142.86,9597632,144.76,145.07,142.63
2023-12-06,142.53,18079680,141.9,144.03,141.35
2023-12-07,142.42,14786740,143.51,144.01,140.99
2023-12-08,144.31,10821740,143.51,144.67,143.12
2023-12-11,144.35,9849572,144.84,145.4,143.82
2023-12-12,142.5,9863867,143.17,143.59,141.75
2023-12-13,144.61,10641320,142.17,144.68,141.65
2023-12-14,149.93,14960480,145.85,149.93,145.85
2023-12-15,149.35,30850870,147.32,149.82,147.32
2023-12-18,149.68,11561720,150.83,152.12,149.32
2023-12-19,151.64,8738146,149.96,151.83,149.49
2023-12-20,150.25,9369987,152.15,153.06,150.06
2023-12-21,150.71,7264662,150.78,150.8,149.22
2023-12-22,151.05,6396080,151.74,152.39,150.75
2023-12-26,152.41,5165588,152.07,153.01,151.9
